epoch,lr,seconds,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_balanced_accuracy
1,0.0002926829491861254,3303.54,0.42756213992194925,0.5086502716614241,0.8626794258373206,0.018447277415130248,0.03612213006370959,1.7895760746569878,0.14547233758174616,1.0,0.0026463869853473733,0.005278804211930097,0.5013231934926737
2,0.0002714480406590546,3598.05,0.41394999554390133,0.5319355365823767,0.9148907103825137,0.0685213227469919,0.12749390801096558,1.6159110703646549,0.1920616735882381,1.0,0.05702267535795866,0.10789300303070233,0.5285113376789793
3,0.0002383738952177247,3165.01,0.40531633056706623,0.5510999223824503,0.9399457235402259,0.10960596161698652,0.19631935492718244,1.241986049402926,0.31476442789631964,0.9205476246197051,0.2191486990918714,0.3540185401854018,0.5529910162126024
4,0.0001966980406590546,3109.45,0.3952398696632244,0.5632583030352547,0.9557710675189185,0.13283300148057384,0.23324906316676527,1.326335998011168,0.2624468948398492,0.9859922178988327,0.14117778149200513,0.24699059408353233,0.5645888907460026
5,0.00015049999999999997,3024.3,0.3894450426712852,0.5693911107479881,0.9570712005732526,0.14936966246441644,0.25840947665573255,1.2930330706094237,0.25977373621652583,0.98937875751503,0.13752855312273665,0.24148894541185678,0.5643476098947017
6,0.00010430195934094535,3040.61,0.3793282848608017,0.5775971240655255,0.9592668024439919,0.1592471542882903,0.27314904310844773,1.393431925451781,0.28488233328559837,0.938275251033668,0.1770015042620759,0.2978204827747833,0.5536674187977046
